Comment;Negative;Neutral;Positive;Compound
👍👍👍;0.0;1.0;0.0;0.0
Bro, what the heck is Tim Scott doing acting like a cheerleader behind trump recently??? Man, I hope he's not VP🤦‍♂ I'll never forget how he deserted Trump and had no balls to speak up in 2020!;0.046;0.75;0.204;0.7648
He didn't need to be a D, but he wasn't wrong either, as usual. Leopards, spots.;0.0;0.818;0.182;0.5157
Women should be given some latitude. They have to deal with other women. We all know how “supportive” women can be to each other.;0.0;1.0;0.0;0.0
"I'll never understand American politics 
So first they fight among themselves then they fight opponents from the other party?";0.226;0.662;0.112;-0.4144
Dems know that if Nikki will sell out her wedding vows, she will sell out to them.;0.0;1.0;0.0;0.0
America is a joke. It is hilarious.;0.0;0.505;0.495;0.5994
Good guy;0.0;0.256;0.744;0.4404
"Well Kimmel  (and a few others) oughta send President Trump a  ""Thank You Card""  if it werent for him they'd have nothing to talk about on thier raGaSs tv shows";0.0;0.859;0.141;0.5574
I don’t get her!!! She was making a speech like she won!!! WTF is wrong with her???;0.327;0.455;0.217;-0.6299
"What is the ""generals"" ?";0.0;1.0;0.0;0.0
Thank you General, FOR MAKING ME RICH. WHO CARES THE TAX PAYER WILL FOOT THE BILL 💵;0.0;0.587;0.413;0.8902
He's going to need her supporters, every one of them to have any hope of winning general election.  Not wise, and certainly unnecessary, need to gloat or be a horse's ass.;0.191;0.591;0.218;0.2755
Can't believe so many traitors that vote trump treason;0.266;0.734;0.0;-0.4404
They are going to keep Haley in until the convention where they will have the delegates vote for Nikki in a contested split. The Establishment won’t go down without a last gasp fight.;0.075;0.925;0.0;-0.3818
I have no proof but I say that the NH race was Rigged!!!;0.23;0.473;0.297;0.5308
Vote for 4 years of him going on about how he won against Nancy pelosi and Obama. Nothing but loss of democracy will get done.;0.0;0.828;0.172;0.5849
Ew ….;0.0;1.0;0.0;0.0
THEIR GO,S , HALEYS COMET 🎉;0.0;0.69;0.31;0.4019
« In life, we can’t get people get away with bullshit ». - Donald J Trump;0.202;0.798;0.0;-0.5859
💙💙💙BIDEN 2024💙💙💙💙;0.0;0.263;0.737;0.9803
Trump baby LFG!!!!;0.0;1.0;0.0;0.0
💙💙💙BIDEN 2024💙💙💙💙;0.0;0.263;0.737;0.9803
Trump is the choice. The only CHOICE! Trump will win the Presidency in a LANDSLIDE!😊Joe BIDEN and Hunter need to be locked up!;0.0;0.701;0.299;0.8928
We want Trump;0.0;0.606;0.394;0.0772
I don’t like Nikki and what she is doing.;0.0;0.762;0.238;0.3612
*Trump Is Bullet Proof* ✌;0.0;0.61;0.39;0.4939
We need to change the Biden channel…;0.0;1.0;0.0;0.0
Senile conman😂;0.178;0.467;0.355;0.4404
President Trump 2024 America first;0.0;1.0;0.0;0.0
"Trumps policies are good. HIs demeanour is disgusting. Why can't he let the results speak for themselves instead of belittling people. Like calling Ron Desantos ""Desanctimonious""  like a 13yr old kid on the school yard. Trump has so much to offer, if he would just be humble and respectful. He could be a great president instead of a boisterous loudmouth with good policies.";0.044;0.724;0.232;0.926
God bless president trump ❤️❤️❤️❤️❤️❤️❤️❤️🙏🙏🙏🙏🙏🙏Amen;0.0;0.86;0.14;0.5994
Make the world sane again. Vote Trump;0.0;1.0;0.0;0.0
I'm not an American and don't typically follow POTUS elections, but by account of several videos with Trump it's quite easy to figure which kind of a person he is. It would be an eternal shame for the America to elect this creature.;0.084;0.829;0.087;0.036
"Those been prosecuted for Jan-6 should be pardoned, they did for this country, they love this country, they love America; 
Those looting after Floyd's death should be prosecuted, they loot for themself, they hate this county, they hate American.";0.285;0.536;0.178;-0.7351
Nikki Haley runs on self pity however TRUMPs integrity RUNS forward WITH GREATEST faith COURAGE and TRUTH ppl have witnessed his promises said and kept America believe in  him already;0.049;0.51;0.441;0.9565
Bye bye Nikki now Biden is next 🎉;0.0;0.748;0.252;0.4019
Trumps favorite book of the Bible is Two Corinthians;0.0;0.727;0.273;0.4588
w trump;0.0;1.0;0.0;0.0
On humour alone I vote for Trump. And i also Love how he triggers the Wokes and drives them to insanity;0.19;0.567;0.243;0.3818
I really hope we stop supporting all these countries that are not the United States;0.219;0.503;0.278;0.3176
Trumps sarcasm is hilarious;0.288;0.303;0.409;0.2023
Trump 2024;0.0;1.0;0.0;0.0
Nikki got 70% votes from demcrats. Disgusting.;0.362;0.638;0.0;-0.5267
Jay.shri.ram.🕉️🕉️🕉️🕉️🇮🇳🇮🇳🇮🇳🙏 mere mere liye bada bada political chalta hai;0.0;1.0;0.0;0.0
DONT MISS YOUR CHANCE, buy $DWAC stock. Trump’s stock. I’m Up 12k so far. Bought 200 shares at $24.50;0.102;0.712;0.186;0.2273
Trump beat Nikki like a rented mule. She’s done.;0.0;0.762;0.238;0.3612
Trump beat Nikki like a rented mule.;0.0;0.706;0.294;0.3612
Steam rolling!;0.0;1.0;0.0;0.0
Lets see who is ahead tomorrow morning;0.0;1.0;0.0;0.0
I thought Trump was supposed to win 85% of the votes😂😂😂. Not even close to it 😂;0.142;0.504;0.354;0.9371
This is the beginning of the end for both Nikki Haley and the warmongering folks who wanna spend other people's money for their escapade.;0.132;0.868;0.0;-0.5423
Donald trump.  America first.  Like they say this train. Gonna. Keep. On. Rolling  one. Monkey. Don’t.  Stop. This. Show.     Keep rolling. Thanks. King George.;0.077;0.734;0.189;0.4939
Nikki won Iowa & New Hampshire the same way my Cowboys won that playoff game 2 weeks ago;0.0;0.684;0.316;0.8126
Trump only got 50% of the republican vote..maybe some of them were democrats or independents voting for Nikki but that is still a bad bad sign for him. Trump lost the popular vote by 8 million in 2020, def not anymore popular now, especially after the clown show attempt at stopping the electoral count on Jan 6th 😂😂..what a clown candidate;0.24;0.663;0.097;-0.9032
Who else is ready for a Trump landslide in November?!! #Trump2024 #LGB #TrumpTrain;0.0;0.796;0.204;0.4738
Pres.Trump it's time to unite your party!;0.0;0.667;0.333;0.4574
From England well done Trump can we have Nigel back to save us.;0.0;0.675;0.325;0.6486
I ain't never seen a smile like that in all my years alive..he looks like an reptile does nobody not know how Chris ward looks like a raptor..what the f is going.on..yes trump started Stargate but why;0.039;0.829;0.132;0.4009
Go PRESIDENT TRUMP;0.0;1.0;0.0;0.0
What absolute clowns. 🤡;0.0;1.0;0.0;0.0
congratulations to orange jesus for winning the maga new hampshire primary!  😂😂😂😂😂😂😂😂😂😂;0.183;0.376;0.44;0.9878
democrats are right. why secure borders? why keep out criminals? why shut down fentanyl dealers? why stop putin? why stop hamas? why stop iran? why stop china? why stop n korea? why lower taxes? why boost the economy? why stop wars? why clean up the streets? lets continue with everything the way its been because the last 4 years have been such a huge success for america and the whole world;0.25;0.603;0.146;-0.8343
"DERSHOWITZ HIGH PROFILE CLIENT LIST

Harry Reems (1976)

Claus von Bülow (1984)

Avi Weiss (1989)

O. J. Simpson (1995)

☆Jeffrey Epstein (2008)

☆Julian Assange (2011)

☆Harvey Weinstein (2018)

☆Donald Trump (2020)";0.0;1.0;0.0;0.0
it's getting very easy to figure out who is with us and who is against us. It wasn't always so easy to tell.;0.0;0.752;0.248;0.7866
Is this shane gillis?;0.0;1.0;0.0;0.0
"Judge in E. Jean Carroll Case: Yes, Donald Trump Is a Rapist
A judge rejected Trump’s semantic attempt to throw out the case.
On Wednesday, Trump’s request for a new trial in the E. Jean Carroll case, after he was found liable for sexual abuse, battery, and defamation, was rejected. And in his desperate attempt to avoid accountability, the twice-impeached and twice-indicted former president may have unintentionally allowed himself to now be formally known as a rapist.
Trump’s team had requested a new trial in the case, arguing that the $5 million in damages he was ordered to pay Carroll was excessive, because he was only charged with sexual abuse. The jury had not found that Trump “raped” Carroll, a talking point Trump’s team often parroted.
But Judge Lewis Kaplan called Trump’s semantic argument “entirely unpersuasive.” He clarified that the jury found that the former president did indeed “rape” Carroll based on the common definition of the word.
Kaplan noted that New York penal law (the jury in the Carroll case was based in New York) has a “far narrower” definition of the word “rape” than in “common modern parlance, its definition in some dictionaries, in some federal and state criminal statutes, and elsewhere.”
“The finding that Ms. Carroll failed to prove that she was ‘raped’ within the meaning of the New York Penal Law does not mean that she failed to prove that Mr. Trump ‘raped’ her as many people commonly understand the word ‘rape,’” Kaplan wrote.
“Indeed, as the evidence at trial recounted below makes clear, the jury found that Mr. Trump in fact did exactly that [rape, as ‘commonly’ understood].”
“A United States District Judge has now formally held, in a lengthy written opinion, that it is perfectly appropriate, and, indeed, entirely accurate, to call a certain former President of the United States a rapist,” noted George Conway, lawyer and husband to former Trump aide Kellyanne Conway.
All that to say, based on the legal language, a rapist—for the third presidential cycle in a row—is leading the 2024 Republican primary.
Prem Thakker
July 19, 2023/2:05 p.m. ET";0.122;0.82;0.058;-0.9707
trump 2024🎉;0.0;0.526;0.474;0.4019
Robert F. Kennedy Jr. 2024.  We the People would like to reclaim the US from the destructive and counterproductive Uniparty that's been at work for too long. We declare our independence! Robert is a patriotic man backed by extensive knowledge and wisdom.;0.081;0.771;0.148;0.3164
I m peach f joke biden corruption crimes family and failed administration;0.213;0.645;0.142;-0.2732
"Governor Sununu was born in cuba. 🇨🇺 
Makes you wonder.";0.0;1.0;0.0;0.0
Trump only thinks elections are fair if he wins, if he loses, all of the sudden they are rigged. He will lose again in November.;0.224;0.597;0.179;-0.128
why is his face yellowish lol;0.0;0.641;0.359;0.4215
Self-centeredness?;0.0;1.0;0.0;0.0
She’s delusional, can’t face the truth;0.0;0.685;0.315;0.3182
My Hero❤;0.0;0.204;0.796;0.8316
The same people funding Haley are the ones that tried to bribe Lake not to run.;0.107;0.893;0.0;-0.2023
Trump 2024;0.0;1.0;0.0;0.0
It is prime time show... Let's trump rule the world again;0.0;1.0;0.0;0.0
Mr Trump our prayers 🙏🏾 from Jamaica 🇯🇲  came through victory ✌ 2024 one love ❤ Jamaica 🇯🇲;0.0;0.644;0.356;0.9118
Go listen to the speech she gave .... she is so delusional.;0.0;1.0;0.0;0.0
Waste of time.  Dems count to votes in general election swing states.;0.203;0.797;0.0;-0.4215
😬😱😥 What is Donny Trump scared of?? Debate Nikki Hayley! Don’t be a wuss. 🙁;0.398;0.511;0.091;-0.856
Haley speaks truthfully, which makes her a threat to those who have chosen to live in a fake reality.;0.256;0.63;0.114;-0.5574
that guy in the back is so distracting;0.291;0.709;0.0;-0.4341
Trump for ALL;0.0;1.0;0.0;0.0
Trump for 2024 and beyond;0.0;1.0;0.0;0.0
Trump for Mexicans;0.0;1.0;0.0;0.0
And that's including all of the democrats that pretended that they were Republicans to vote against Trump.;0.0;1.0;0.0;0.0
"Words from Mr.  Mugshot 

Who recommended clorox liquid substances into the body of American citizens. 

Let's make it more understandable?

This man wants all American citizens dead.";0.138;0.804;0.058;-0.5423
GOD Bless and Protect Donald and the Trump family 🙏🏻 - the LANDSLIDE Victory in November is going to be HISTORIC —💋Sweet Latinas for TRUMP ! 💡;0.0;0.726;0.274;0.884
So excited that Trump won another one. I know the press is pushing Haley but I can tell you right now even if she’s the nomination that far away happen I would not vote for her. If you’re going to vote for Haley, you might as well leave Biden in office cause that’s what you’re gonna get Warren Ukraine friends with China trying to get rid of Putin. That is the Democrat agenda. Not not the Republican agenda.🇺🇸🇺🇸🇺🇸🇺🇸;0.015;0.856;0.129;0.8656
Actually democrats have supported trump leading to his victory, so that Biden could easily beat him;0.0;0.749;0.251;0.5719
Tim Scott like a bandwagon leech in the background;0.0;0.762;0.238;0.3612
I don't get it, of all the conservatives I know, not a single one supports Haley.  Who are these people voting for her?;0.0;0.898;0.102;0.3612
America has woken up. This is demonstrated by the latest electoral results of the representative movement WE THE PEOPLE (MAGA). Despite the electoral interference of the pedophile deep state. Land of the free only because of the brave.;0.0;0.843;0.157;0.7717
Congratulations President Trump;0.0;0.339;0.661;0.5994
"Trump Trump Trump!!!! And Nikki had all the Dems, ""independants"" who voted for her😂...she is going to lose her own state BADDDDDD!";0.187;0.813;0.0;-0.6973
Love Trump. Only Trump can save America Only Trump can save the World;0.0;0.485;0.515;0.891
when you want the best in the white house to get this country back where it should be,you vote for Trump!;0.0;0.766;0.234;0.6996
Get that woman out!;0.0;1.0;0.0;0.0
With Trump in charge USA will go down the drain just like when he was in the WH. Lies, false news and golf for the next four years.;0.089;0.831;0.08;-0.0772
"Looks like Biden better start securing our border or ""Orange Man"" could be coming back.";0.0;0.609;0.391;0.7717
As I am following the outcome of this news till its now moment in months to come, I can say DJT really nailed it this time 2024, an effortless campaign to win the ❤s of many and he's everywhere to be seen. As a non-voter and outsider, I admire DJT's resilience, tenacity in his POTUS journey back to WH. I will just keep on watching then Forbes🙂✌.;0.0;0.799;0.201;0.9525
"Don beat ""independent"" democrats voting for Haley tonight. Love it.
Huge turnout for the GOP!";0.0;0.657;0.343;0.7777
Trump will win in 24;0.0;0.513;0.487;0.5859
Something is up, she ain't dropping out cause they have something planned. Just like Biden and his handlers had something planned for the 2020 election.;0.0;0.906;0.094;0.3612
Rinos and dems combined did not even come close,🤣;0.0;0.802;0.198;0.4939
Rolling forward like an unstoppable avalanche at this point.;0.159;0.619;0.221;0.1779
Trump/Vivek 2024;0.0;1.0;0.0;0.0
Bellicose Billionaire Bloviating;0.0;1.0;0.0;0.0
He's so funny... Nikki is deplorable but Democrats love her.;0.0;0.503;0.497;0.8358
"Democrats and neocons voted 5"" .";0.0;1.0;0.0;0.0
Faux news is spouting like Nikki won.;0.0;0.446;0.554;0.7351
Republicans voted against the brown lady not for Trump. When will he reinvigorate the German American  Bund? - Zoomer;0.0;0.845;0.155;0.5106
Hillary Haley;0.0;1.0;0.0;0.0
Trump 2024 🇺🇸 M.A.G.A;0.0;1.0;0.0;0.0
Actually, Haley wins vs Biden in more polls than Mango Musselini. Can't believe any Americans buy this snake oil.;0.0;0.829;0.171;0.5719
I am chubbing up....;0.0;1.0;0.0;0.0
What is his stance on digital money? vaccines? I haven't heard anything and it seems the people do not care, which is disastrous!;0.255;0.745;0.0;-0.8009
Daddy likes.;0.0;0.263;0.737;0.4215
TRUMP2024 WE LOVE YOU PRESIDENT TRUMP;0.0;0.543;0.457;0.6369
Greatest president of our times!!!;0.0;0.441;0.559;0.7249
Poor OBiden he's going to have a sleepless night, going to looks like a zombie in the morning, wait.. he's always looks like a zombie 😂😂;0.145;0.589;0.265;0.7717
I think its funny how Trump put a time limit on Vivek.;0.0;0.791;0.209;0.4404
President Trump you should said something better to her , if your want to be next president;0.0;0.781;0.219;0.4939
Ironic;1.0;0.0;0.0;-0.128
The goat;0.0;1.0;0.0;0.0
Yes 3 times ❤;0.0;0.303;0.697;0.7845
All’s Nikki Hayley has to do is stay in the race until Trump gets kick out by the Supreme Court and the 14th Amendment 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸;0.0;0.87;0.13;0.5574
It's a total surprise except to people who are not stupid and also love America.;0.0;0.562;0.438;0.8544
Make America great again bring back mean tweets Trump 2024;0.0;0.687;0.313;0.6249
Doesn’t matter….False Flag coming to keep Trump out of office.;0.0;1.0;0.0;0.0
Birdbrain is only capable of staying in this race because she still has the finance of powerful donors .;0.0;0.759;0.241;0.6597
"No neocon Nicky.
Ratheon Republican.";0.355;0.645;0.0;-0.296
She is a Uniparty RINO?!;0.0;1.0;0.0;0.0
I remember someone else claiming he won when he lost a Presidential election in 2020.;0.121;0.684;0.195;0.34
God Bless you President Trump and may there be sanity restored in the White House.;0.0;0.622;0.378;0.743
she didn’t come in 2nd, she came LAST (since only two people were in the race)! 😂;0.076;0.76;0.164;0.4926
They want to make Trump look bad. Look at the numbers. Only 40k people (so far) have voted for biden and 100k for Nikki and almost 150k for trump. Where do you think the Dems are voting?? 🤔 PERHAPS nikki hillary 🤯 250k votes in a DEMOCRATIC STATE for nikki and trump and only 40k for biden. This is a plot to steal the election!! NIKKI will be a spoiler candidate who makes Biden the winner, mark my words, if we don’t do something about this.;0.079;0.868;0.053;-0.549
FJB !;0.0;1.0;0.0;0.0
Trump 2024 the best president this country has ever had period time for the rhino to drop out;0.094;0.717;0.188;0.4767
"What a power 1-minute by Vivek 👌✌️.   Vivek is truly Team Trump now. 

Will he get VP?";0.0;0.653;0.347;0.8415
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤;0.0;0.192;0.808;0.9968
"Trump: USA, USA, USA, USA
Nikki: Israel, WHO, WEF, No Borders, Military Industry Complex, Ukraine.";0.136;0.864;0.0;-0.296
Let's go, America. Trump 2024 MAGA!;0.0;1.0;0.0;0.0
Trump rigged the primary in New Hampshire like he did in Iowa. Dont put anything past him .;0.119;0.762;0.119;0.0
Given Trump can barely defeat Hailey in the Republic primary, only capturing 56% of the vote, It is becoming obvious that Biden will crush Trump in the election.;0.142;0.858;0.0;-0.5118
...Help...Can Someone Here Please Help Me Make Some Real Money Online...god bless you  🙏;0.0;0.606;0.394;0.7783
Fly your broom out Nikki!;0.0;1.0;0.0;0.0
Arizona for Trump 2024!!!❤;0.0;0.496;0.504;0.7249
GOD BLESS AMERICA 🇺🇸 AND TRUMP ❤;0.0;0.321;0.679;0.8902
Trump LYING again, he never won New Hampshire in the general election.;0.416;0.584;0.0;-0.7981
trump will lose again and again will cry rigged rigged pathetic ....😂😂😂;0.424;0.336;0.239;-0.7003
"New Hampshire and Nikki Haley share the same initial-
N. H. 
Ironically, she can't win.";0.168;0.711;0.12;-0.2197
The Lunatic is likely to be running the USAsylum !!!!;0.327;0.673;0.0;-0.6562
She lost Bigly.;0.535;0.465;0.0;-0.3182
He can’t win the general election. All dems, most centrists and some RINOs will vote against Trump;0.0;0.808;0.192;0.5859
You’re worthy of victory.👏👏president Trump;0.0;0.734;0.266;0.4404
Delusional is the adjective;0.0;1.0;0.0;0.0
No.. it’s Putins programmers won.  Not Tramp. It’s computers bullshit.  People.  Wake up.;0.205;0.595;0.2;-0.0258
"Looks like we're going to have four more years of Biden..
Trump will never win this fall.";0.149;0.729;0.122;-0.1461
"We love Tim Scott, DeSantis, Ramaswamy! Thank you for supporting our President Trump!
Thank you for this broadcast! Can't find this good news on my TV.";0.0;0.562;0.438;0.9464
Biden won New Hampshire by 63 and trump has lil hope won so still trump in trouble in general election;0.093;0.552;0.355;0.8225
Guarantee he has WV's vote;0.0;0.667;0.333;0.25
Trump 2024;0.0;1.0;0.0;0.0
Congratulations Trump!;0.0;0.193;0.807;0.636
Sick sick man!!!! Sad!!!;0.916;0.084;0.0;-0.8972
The end of the United States of America as We the ppl know it.😢get y'all 🍑 out November 2024 an vote Joe Biden reelected 🎉 Yeahhh 🎉🎈 2024;0.077;0.72;0.203;0.6249
Donnie Plump will be in prison.;0.398;0.602;0.0;-0.5106
Newsmax first to call the winner in NH . 😂 HOW DOES FOX FEEL ABOUT THAT 😅 AWE;0.053;0.557;0.391;0.9206
As a Canadian and a former liberal (democrat), im so happy trump won. My fellow American friends, do what you gotta do (VOTE) and get this guy back into office!;0.0;0.691;0.309;0.9201
Trump lost the new Hampshire general election. That will happen again. Bye.cell ya later. Oops see ya later r;0.113;0.887;0.0;-0.3182
DONALD TRUMP LEGEND LEGEND LEGEND LEGEND LEGEND LEGEND 🌐🖖💓💞💕❤️🇺🇸 ❤️;0.0;0.519;0.481;0.9618
Latinos for Trump!!! MAGA 2024!!!🇺🇸❤️🇺🇸❤️🇺🇸;0.0;1.0;0.0;0.0
"Why is Trump afraid to debate Nikki Haley?   This isn't a dictatorship, it is a democracy and we deserver to see these two on a debate stage.

What is Trump afraid?";0.0;1.0;0.0;0.0
“I don’t get angry, I get even” - Trump;0.292;0.708;0.0;-0.5106
A coalition of never Trumpers, democrats, and Independents cobbled together threw everything and the kitchen sink at President Trump but they still couldn't beat him!;0.0;1.0;0.0;0.0
We love trump ❤❤❤ U S A U S A U S A;0.0;0.455;0.545;0.9571
Good 👍 God bless America;0.0;0.278;0.722;0.7783
Trump won !  America won !;0.0;0.334;0.666;0.8395
You gotta love the Trumpster !!!!;0.0;0.482;0.518;0.7482
I’m curious if neocon niki is gonna drop out now ???;0.151;0.646;0.204;0.1877
Trump is truly on God Mode...but Nikki never had a chance to win anything.;0.085;0.487;0.428;0.7941
Trump 2024!!!!;0.0;1.0;0.0;0.0
Poor fragile little donny pleading for Haley to pull out. Not everyone has to pull out as quickly as you do Donny;0.129;0.871;0.0;-0.4767
Well if Haley looses South Carolina, as polls suggest she would have to call it all in...she will be finished..😂;0.115;0.691;0.194;0.5267
We got to overload and overwhelm the steal;0.597;0.403;0.0;-0.7506
No, Trump did not roast Nikki Haley.   Far from it.   She actually did much better than anyone expected, and if you believe the numbers, it was NOT a landslide for Trump.;0.0;0.912;0.088;0.4404
America doesn't need a president. America needs a hero, America needs a winner . World needs Trump;0.0;0.67;0.33;0.8126
i dont get angry i get even!;0.0;0.667;0.333;0.4577
Prepare for Michelle O. Got a feeling she’ll be the Dem;0.0;0.87;0.13;0.128
USA USA USA USA!! 👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿 Bring back the mean tweets!;0.0;1.0;0.0;0.0
no chance to nikki-hillary!!!!!!!!;0.492;0.508;0.0;-0.4419
Nikki Hayley love herself and her donors .I am not sure she love her party.She is the first to attacked Trump and the media not saying it.;0.234;0.647;0.118;-0.4819
Go Trump! Our nation needs you!;0.0;1.0;0.0;0.0
Niki winning second place in a 2 person race is still last place;0.0;0.779;0.221;0.5267
Fox news is saying its close enough for her to stay in the race? Lol. Over 5k dems voted for her. Trump honesty would win by over 20 points if not for the dems corrupting the ballot.;0.0;0.776;0.224;0.8689
Nikki is probably asking Hillary C and Nancy.P What's the next plan .;0.0;1.0;0.0;0.0
Most of US go to bed 🛏️ pissed off what BIDEN HAS DONE TO OUR COUNTRY;0.219;0.781;0.0;-0.6369
Trump is needed for the country...;0.0;1.0;0.0;0.0
I am a Trump supporter, however I wish he would learn to be humble and know when to stop talking. If someone would just stand beside him with a rolled up sock and know the exact moment when to shove it. He would easily have thousands more supporters. Spoken in love. ❤️❤️❤️❤️;0.032;0.759;0.209;0.908
Americans of BOTH parties need to UNITE and vote President Trump to SAVE AMERICA From the DEEP STATE GREAT RESET🔥🔥🔥;0.202;0.477;0.321;0.7404
I will vote for Trump like my life depends on it. MAGA BABY;0.0;0.828;0.172;0.3612
Nikki is another pelosi;0.0;1.0;0.0;0.0
We All love you president TRUMP;0.0;0.543;0.457;0.6369
Tim Scott vp?;0.0;1.0;0.0;0.0
I think 💬 Nikki needs to back up Trump's agenda and show she HATES Biden agenda;0.185;0.815;0.0;-0.5622
Is that Uncle Ruckus in the background ? 😂😂😂😂😂.;0.184;0.447;0.369;0.926
Trump isnt wrong. Nikki keeps acting like she is victorious when there is only ONE winner. Everyone else is a loser.;0.116;0.581;0.303;0.6656
That soft sobbing in the background is Adam Kinzinger 😂😂😂;0.226;0.463;0.311;0.7269
Did Biden as a write in get less than the other democrats in the race?;0.0;1.0;0.0;0.0
Obviously she was no threat 🤣;0.0;0.572;0.428;0.7163
Hillary Haley needs to just drop out already.  She is embarrassing herself.;0.32;0.68;0.0;-0.5719
Haley tried a Cheney and just like Cheney, SHE LOST..;0.224;0.591;0.185;-0.1363
Just Win Baby;0.0;0.345;0.655;0.5859
love it!!!!!!!!!!!!!!!!!;0.0;0.157;0.843;0.7482
❤ I KNOW HE IS COCKY ... but we need that and RESULTS !... IF ONE KNOWS WHAT ONE IS DOING... COCKY KEEPS ONE HUMBLE ... when she gets rattled she referrers to the word “ Democracy “ ... I love it don’t get angry get even I feel sorry for those that are not for America especially those that are here in our country... NO A COLOUR ... BUT A CONSTITUTIONAL CULTURE... SHALOHA;0.16;0.748;0.092;-0.6319
Oh come on.  In the leftie swamp parlance  Scaley was BALLOTUDINALY challenged;0.113;0.887;0.0;-0.1027
The election was stolen!;0.538;0.462;0.0;-0.5411
Trump is like the nightmare the establishment can’t get rid of 😂;0.09;0.613;0.297;0.6597
Tim Scott no longer gay?;0.355;0.645;0.0;-0.296
My MOTHA FKN PRESIDENT!!!!;0.0;1.0;0.0;0.0
Trump 2024;0.0;1.0;0.0;0.0
If the other side would sit down and listen to trump and maga , get the BIG IDEA EVERYTHING WILL BE SUCCESSFUL FOR OUR COUNTRY WITH LIFE AND VIGOR NOT 🚫 DEATH AND DISEASE;0.0;0.737;0.263;0.9012
I wonder how long the democrap donors will keep funding haley as she will lose to Trump in every state....and badly in South Carolina;0.209;0.791;0.0;-0.7003
Haley should go back to India and teach Modi about democracy 😂;0.096;0.711;0.193;0.4404
We had a native vice president Charles Curtis;0.0;1.0;0.0;0.0
Forbes is posting Trump because they need money now.  They never would of when Trump ran last time….. Forbes is smart and wants to make money again.;0.0;0.906;0.094;0.4019
"So the Rotten Orange won, then if he lost, could it be a ""rigged election"" 😂😂😂";0.286;0.407;0.307;0.6151
Good news!;0.0;0.239;0.761;0.4926
He never says anything that makes sense other than abusing others, and people still laugh. Oh my country America;0.127;0.72;0.153;0.1531
If you ain’t first your last;0.0;1.0;0.0;0.0
What are saying syphilis boy syphilis boy 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;0.21;0.371;0.419;0.9943
Haley = Nope;0.0;1.0;0.0;0.0
Ya know, for someone who trashes her do much, kinda suprising he only won by 8%;0.0;0.802;0.198;0.5719
she has a winner personality as you D;0.0;0.648;0.352;0.5859
Trump for a toe tag 2024;0.0;1.0;0.0;0.0
Good news for Old Joe.... hahahahah;0.0;0.633;0.367;0.4404
YEAH!!!  Crooked Nikki is corrupt and working for the D.S.;0.0;0.703;0.297;0.5871
Trump 2024✌️✌️✌️✌️✌️✌️✌️✌️;0.0;1.0;0.0;0.0
Nikki Hayley is standing in the race. Because she knows there's gonna be a temp on president dylan j trump's lap;0.0;1.0;0.0;0.0
Trump all day long;0.0;1.0;0.0;0.0
Trump 2024;0.0;1.0;0.0;0.0
I don’t like losers;0.43;0.253;0.316;-0.2263
USA!!;0.0;1.0;0.0;0.0
Rachel meadow is crying somewhere.;0.437;0.563;0.0;-0.4767
Wooohooo as a woman from NH I LOVE president Trump ❤;0.0;0.408;0.592;0.9333
Mr President !! T2024;0.0;1.0;0.0;0.0
Trump;0.0;1.0;0.0;0.0
When the sheep have woken up and understand what Trump has been doing there will be statues of this man everywhere 🎉🎉🎉;0.0;0.748;0.252;0.7964
Thanks God witch is out . No for Fake Nicky ,Never ever;0.244;0.364;0.392;0.4318
Trumps next stop is prison;0.647;0.353;0.0;-0.6705
"I love the guy in the audience who shouts, ""Birdbrain""!  Way to go, Hillary... Oops... I mean Nikki!";0.0;0.78;0.22;0.6988
MAGA;0.0;1.0;0.0;0.0
2024 Trump .;0.0;1.0;0.0;0.0
❤❤❤❤;0.0;0.192;0.808;0.9571
I see Tim Scott standing in the background. I hope Trump picks Tim for his VP. 👍❤️👋;0.0;0.766;0.234;0.7269
TRUMP 2024;0.0;1.0;0.0;0.0
RFK / Tulsi all the way to the White House ❤❤;0.0;0.588;0.412;0.8555
👏👏👏💪😎🇺🇲👏👏👏;0.0;0.85;0.15;0.4588
💪💪💪🇺🇸🇺🇸🇺🇸 Trump!!!;0.0;1.0;0.0;0.0
Nikki is the pigeon that loses in chess, jumps up on the board, kicks all the pieces around and declares it won.;0.088;0.769;0.142;0.34
Tim Scott in the back kuhning to the maximum 😭💀;0.205;0.795;0.0;-0.4767
Congratulations Trump ! 🎈🎈🎈🎈;0.0;0.589;0.411;0.636
#NeverNikki;0.0;1.0;0.0;0.0
Trump is the loser and many independents will vote for her.;0.254;0.746;0.0;-0.5267
❤❤❤❤❤❤❤❤❤❤❤❤;0.0;0.192;0.808;0.995
Nikki TRUMP HIRED U AND NOW U BETRAY HIM?;0.381;0.619;0.0;-0.7125
So very happy that former President Trump has won New Hampshire!!!;0.0;0.504;0.496;0.8704
TRUMP the OG;0.0;1.0;0.0;0.0
Maga;0.0;1.0;0.0;0.0
Nikki Haley is doing a Stacy Abrams😄;0.0;0.645;0.355;0.6705
